N°, Cur[mA], ADC2[Vol],Date, Time
1,-104.70,344.67,20/7/2018,12:31:36,
2,-103.80,309.33,20/7/2018,12:31:37,
3,-99.50,285.33,20/7/2018,12:31:37,
4,-103.90,265.67,20/7/2018,12:31:38,
5,-99.90,251.00,20/7/2018,12:31:38,
6,-105.50,240.00,20/7/2018,12:31:39,
7,-99.00,231.00,20/7/2018,12:31:39,
8,-99.30,225.00,20/7/2018,12:31:40,
9,-101.70,220.00,20/7/2018,12:31:40,
10,-97.20,216.67,20/7/2018,12:31:41,
11,-96.70,214.00,20/7/2018,12:31:41,
12,-97.00,212.00,20/7/2018,12:31:42,
13,-97.20,210.00,20/7/2018,12:31:42,
14,-99.40,209.00,20/7/2018,12:31:43,
15,-96.50,209.00,20/7/2018,12:31:43,
16,-96.90,208.00,20/7/2018,12:31:44,
17,-99.70,207.00,20/7/2018,12:31:44,
18,-99.80,207.00,20/7/2018,12:31:45,
19,-101.70,206.00,20/7/2018,12:31:45,
20,-102.10,205.00,20/7/2018,12:31:46,
21,-105.00,205.00,20/7/2018,12:31:46,
22,-97.20,205.00,20/7/2018,12:31:47,
23,-99.70,204.00,20/7/2018,12:31:47,
24,-106.90,204.00,20/7/2018,12:31:48,
25,-110.10,204.00,20/7/2018,12:31:48,
26,-102.30,203.67,20/7/2018,12:31:49,
27,-100.10,203.33,20/7/2018,12:31:49,
28,-251.80,203.67,20/7/2018,12:31:50,
29,-101.70,203.67,20/7/2018,12:31:50,
30,-268.40,203.67,20/7/2018,12:31:51,
31,-107.50,203.67,20/7/2018,12:31:51,
32,-270.10,203.33,20/7/2018,12:31:52,
33,-104.80,203.00,20/7/2018,12:31:52,
34,-99.60,204.00,20/7/2018,12:31:53,
35,-98.10,204.67,20/7/2018,12:31:53,
36,-98.20,204.67,20/7/2018,12:31:54,
37,-100.50,205.00,20/7/2018,12:31:54,
38,-101.50,205.67,20/7/2018,12:31:55,
39,-105.20,206.00,20/7/2018,12:31:55,
40,-97.70,206.00,20/7/2018,12:31:56,
41,-100.40,206.00,20/7/2018,12:31:56,
42,-100.40,207.00,20/7/2018,12:31:57,
43,-98.10,206.67,20/7/2018,12:31:57,
44,-100.60,207.00,20/7/2018,12:31:58,
45,-100.00,207.00,20/7/2018,12:31:58,
46,-98.10,207.00,20/7/2018,12:31:59,
47,-100.30,207.00,20/7/2018,12:31:59,
48,-105.30,207.00,20/7/2018,12:32:0,
49,-100.20,207.00,20/7/2018,12:32:0,
50,-103.70,207.00,20/7/2018,12:32:1,
51,-102.30,207.00,20/7/2018,12:32:1,
52,-94.70,206.00,20/7/2018,12:32:2,
53,-96.70,206.00,20/7/2018,12:32:2,
54,-97.00,206.00,20/7/2018,12:32:3,
55,-102.20,205.00,20/7/2018,12:32:3,
56,-101.60,205.00,20/7/2018,12:32:4,
57,-97.50,205.00,20/7/2018,12:32:4,
58,-100.30,204.00,20/7/2018,12:32:5,
59,-96.90,204.00,20/7/2018,12:32:5,
60,-99.30,203.00,20/7/2018,12:32:6,
61,-104.40,203.00,20/7/2018,12:32:6,
62,-97.40,203.00,20/7/2018,12:32:7,
63,-99.30,203.00,20/7/2018,12:32:7,
64,-96.70,203.00,20/7/2018,12:32:8,
65,-96.30,203.00,20/7/2018,12:32:8,
66,-96.70,203.00,20/7/2018,12:32:9,
67,-99.20,203.67,20/7/2018,12:32:9,
68,-99.50,203.67,20/7/2018,12:32:10,
69,-96.70,204.00,20/7/2018,12:32:10,
70,-98.40,205.00,20/7/2018,12:32:11,
71,-96.30,205.67,20/7/2018,12:32:11,
72,-97.40,205.67,20/7/2018,12:32:12,
73,-99.10,206.00,20/7/2018,12:32:12,
74,-99.40,207.00,20/7/2018,12:32:13,
75,-103.70,206.67,20/7/2018,12:32:13,
76,-95.80,207.00,20/7/2018,12:32:14,
77,-91.00,207.00,20/7/2018,12:32:14,
78,-98.00,207.00,20/7/2018,12:32:15,
79,-96.00,207.00,20/7/2018,12:32:15,
80,-99.20,207.00,20/7/2018,12:32:16,
81,-102.10,207.00,20/7/2018,12:32:16,
82,-98.30,207.00,20/7/2018,12:32:17,
83,-98.30,206.00,20/7/2018,12:32:17,
84,-96.30,206.00,20/7/2018,12:32:18,
85,-98.10,205.00,20/7/2018,12:32:18,
86,-99.00,205.00,20/7/2018,12:32:19,
87,-104.50,205.00,20/7/2018,12:32:19,
88,-98.00,204.00,20/7/2018,12:32:19,
89,-96.50,204.00,20/7/2018,12:32:20,
90,-91.60,204.00,20/7/2018,12:32:20,
91,-97.70,203.00,20/7/2018,12:32:21,
92,-101.30,203.00,20/7/2018,12:32:21,
93,-95.30,203.00,20/7/2018,12:32:22,
94,-101.20,203.00,20/7/2018,12:32:22,
95,-102.10,203.00,20/7/2018,12:32:23,
96,-95.70,203.00,20/7/2018,12:32:23,
97,-98.40,203.00,20/7/2018,12:32:24,
98,-97.80,203.00,20/7/2018,12:32:24,
99,-96.10,203.00,20/7/2018,12:32:25,
100,-101.60,203.00,20/7/2018,12:32:25,
101,-98.00,203.67,20/7/2018,12:32:26,
102,-95.20,204.00,20/7/2018,12:32:26,
103,-95.20,204.67,20/7/2018,12:32:27,
104,-103.30,204.33,20/7/2018,12:32:27,
105,-98.70,205.00,20/7/2018,12:32:28,
106,-95.40,205.67,20/7/2018,12:32:28,
107,-100.90,205.67,20/7/2018,12:32:29,
108,-98.90,206.00,20/7/2018,12:32:29,
109,-100.80,206.67,20/7/2018,12:32:30,
110,-97.80,207.00,20/7/2018,12:32:30,
111,-96.10,207.00,20/7/2018,12:32:31,
112,-95.70,207.00,20/7/2018,12:32:31,
113,-100.60,207.00,20/7/2018,12:32:32,
114,-97.70,207.00,20/7/2018,12:32:32,
115,-98.20,207.00,20/7/2018,12:32:33,
116,-95.90,207.00,20/7/2018,12:32:33,
117,-97.00,206.00,20/7/2018,12:32:34,
118,-95.50,206.00,20/7/2018,12:32:34,
119,-103.40,205.00,20/7/2018,12:32:35,
120,-101.80,204.00,20/7/2018,12:32:35,
121,-97.40,205.00,20/7/2018,12:32:36,
122,-102.20,204.00,20/7/2018,12:32:36,
123,-95.80,203.00,20/7/2018,12:32:37,
124,-98.20,203.00,20/7/2018,12:32:37,
125,-97.20,203.00,20/7/2018,12:32:38,
126,-96.10,203.00,20/7/2018,12:32:38,
127,-95.90,203.00,20/7/2018,12:32:39,
128,-104.00,203.00,20/7/2018,12:32:39,
129,-96.30,203.00,20/7/2018,12:32:40,
130,-96.10,203.67,20/7/2018,12:32:40,
131,-95.80,204.00,20/7/2018,12:32:41,
132,-100.60,204.00,20/7/2018,12:32:41,
133,-99.80,204.67,20/7/2018,12:32:42,
134,-101.10,205.33,20/7/2018,12:32:42,
135,-98.40,206.00,20/7/2018,12:32:43,
136,-95.30,206.00,20/7/2018,12:32:43,
137,-95.40,206.67,20/7/2018,12:32:44,
138,-99.30,207.00,20/7/2018,12:32:44,
139,-95.60,208.00,20/7/2018,12:32:45,
140,-95.90,207.67,20/7/2018,12:32:45,
141,-95.80,207.00,20/7/2018,12:32:46,
142,-101.30,206.00,20/7/2018,12:32:46,
143,-96.70,206.00,20/7/2018,12:32:47,
144,-97.30,207.00,20/7/2018,12:32:47,
145,-98.10,211.00,20/7/2018,12:32:48,
146,-95.50,209.00,20/7/2018,12:32:48,
147,-96.70,204.00,20/7/2018,12:32:49,
148,-98.10,204.00,20/7/2018,12:32:49,
149,-98.30,200.00,20/7/2018,12:32:50,
150,-95.60,200.00,20/7/2018,12:32:50,
151,-98.20,200.00,20/7/2018,12:32:51,
152,-98.40,201.00,20/7/2018,12:32:51,
153,-98.70,201.67,20/7/2018,12:32:52,
154,-96.80,202.00,20/7/2018,12:32:52,
155,-98.80,202.67,20/7/2018,12:32:53,
156,-95.50,203.67,20/7/2018,12:32:53,
157,-97.60,204.00,20/7/2018,12:32:54,
158,-97.40,205.33,20/7/2018,12:32:54,
159,-98.70,205.00,20/7/2018,12:32:55,
160,-97.60,206.00,20/7/2018,12:32:55,
161,-97.80,205.67,20/7/2018,12:32:56,
162,-95.50,206.33,20/7/2018,12:32:56,
163,-97.70,207.00,20/7/2018,12:32:57,
164,-94.50,207.00,20/7/2018,12:32:57,
165,-97.30,207.00,20/7/2018,12:32:58,
166,-103.50,207.00,20/7/2018,12:32:58,
167,-93.40,207.00,20/7/2018,12:32:59,
168,-97.50,207.00,20/7/2018,12:32:59,
169,-94.80,207.00,20/7/2018,12:33:0,
170,-95.20,206.00,20/7/2018,12:33:0,
171,-97.60,206.00,20/7/2018,12:33:1,
172,-94.70,205.00,20/7/2018,12:33:1,
173,-95.00,204.00,20/7/2018,12:33:2,
174,-97.60,204.00,20/7/2018,12:33:2,
175,-95.70,204.00,20/7/2018,12:33:3,
176,-102.30,204.00,20/7/2018,12:33:3,
177,-103.20,203.67,20/7/2018,12:33:4,
178,-97.90,203.00,20/7/2018,12:33:4,
179,-97.00,203.67,20/7/2018,12:33:5,
180,-95.50,203.00,20/7/2018,12:33:5,
181,-89.30,203.00,20/7/2018,12:33:6,
182,-97.80,203.00,20/7/2018,12:33:6,
183,-98.00,203.33,20/7/2018,12:33:7,
184,-94.60,204.00,20/7/2018,12:33:7,
185,-97.40,204.00,20/7/2018,12:33:8,
186,-97.60,204.67,20/7/2018,12:33:8,
187,-95.60,205.00,20/7/2018,12:33:9,
188,-99.60,205.67,20/7/2018,12:33:9,
189,-94.90,206.00,20/7/2018,12:33:10,
190,-95.00,207.00,20/7/2018,12:33:10,
191,-94.40,207.00,20/7/2018,12:33:11,
192,-97.60,207.00,20/7/2018,12:33:11,
193,-97.70,207.00,20/7/2018,12:33:12,
194,-94.70,207.00,20/7/2018,12:33:12,
195,-98.20,207.00,20/7/2018,12:33:13,
196,-97.80,207.00,20/7/2018,12:33:13,
197,-101.30,207.00,20/7/2018,12:33:14,
198,-97.20,206.00,20/7/2018,12:33:14,
199,-99.10,205.00,20/7/2018,12:33:15,
200,-95.00,206.00,20/7/2018,12:33:15,
201,-96.30,205.00,20/7/2018,12:33:16,
202,-97.40,205.00,20/7/2018,12:33:16,
203,-95.90,205.00,20/7/2018,12:33:17,
204,-96.90,204.00,20/7/2018,12:33:17,
205,-97.10,204.00,20/7/2018,12:33:18,
206,-96.90,203.00,20/7/2018,12:33:18,
207,-95.00,203.00,20/7/2018,12:33:19,
208,-97.10,202.00,20/7/2018,12:33:19,
209,-97.50,203.00,20/7/2018,12:33:20,
210,-102.50,203.00,20/7/2018,12:33:20,
211,-94.60,203.00,20/7/2018,12:33:21,
212,-94.00,203.00,20/7/2018,12:33:21,
213,-95.20,203.00,20/7/2018,12:33:22,
214,-102.70,203.00,20/7/2018,12:33:22,
215,-94.30,203.00,20/7/2018,12:33:23,
216,-96.80,203.00,20/7/2018,12:33:23,
217,-101.70,203.00,20/7/2018,12:33:24,
218,-95.10,203.67,20/7/2018,12:33:24,
219,-97.30,204.00,20/7/2018,12:33:25,
220,-94.80,204.67,20/7/2018,12:33:25,
221,-94.50,204.00,20/7/2018,12:33:26,
222,-97.60,205.00,20/7/2018,12:33:26,
223,-94.60,205.00,20/7/2018,12:33:27,
224,-94.10,205.67,20/7/2018,12:33:27,
225,-102.00,205.67,20/7/2018,12:33:28,
226,-101.20,206.00,20/7/2018,12:33:28,
227,-90.50,206.67,20/7/2018,12:33:29,
228,-95.90,206.33,20/7/2018,12:33:29,
229,-95.30,207.00,20/7/2018,12:33:30,
230,-96.90,207.00,20/7/2018,12:33:30,
231,-96.70,207.00,20/7/2018,12:33:31,
232,-103.30,207.00,20/7/2018,12:33:31,
233,-94.50,207.00,20/7/2018,12:33:32,
234,-96.50,207.00,20/7/2018,12:33:32,
235,-103.80,207.00,20/7/2018,12:33:33,
236,-94.60,207.00,20/7/2018,12:33:33,
237,-95.80,206.67,20/7/2018,12:33:34,
238,-100.20,206.00,20/7/2018,12:33:34,
239,-96.40,206.00,20/7/2018,12:33:35,
240,-94.70,206.00,20/7/2018,12:33:35,
241,-95.40,205.00,20/7/2018,12:33:36,
242,-101.10,206.00,20/7/2018,12:33:36,
243,-102.30,205.00,20/7/2018,12:33:37,
244,-95.50,205.00,20/7/2018,12:33:37,
245,-96.00,204.00,20/7/2018,12:33:38,
246,-96.10,204.00,20/7/2018,12:33:38,
247,-98.40,204.00,20/7/2018,12:33:39,
248,-96.10,204.00,20/7/2018,12:33:39,
249,-96.90,204.00,20/7/2018,12:33:40,
250,-94.50,204.00,20/7/2018,12:33:40,
251,-96.70,203.00,20/7/2018,12:33:41,
252,-100.80,203.00,20/7/2018,12:33:41,
253,-93.50,203.00,20/7/2018,12:33:42,
254,-94.40,203.00,20/7/2018,12:33:42,
255,-93.00,203.00,20/7/2018,12:33:43,
256,-97.30,203.00,20/7/2018,12:33:43,
257,-96.70,203.00,20/7/2018,12:33:44,
258,-98.00,203.00,20/7/2018,12:33:44,
259,-94.00,203.00,20/7/2018,12:33:45,
260,-96.70,203.00,20/7/2018,12:33:45,
261,-96.00,203.00,20/7/2018,12:33:46,
262,-94.20,203.00,20/7/2018,12:33:46,
263,-96.10,203.00,20/7/2018,12:33:47,
264,-94.10,203.00,20/7/2018,12:33:47,
265,-96.90,203.00,20/7/2018,12:33:48,
266,-103.40,203.67,20/7/2018,12:33:48,
267,-96.50,203.33,20/7/2018,12:33:49,
268,-102.90,204.00,20/7/2018,12:33:49,
269,-96.70,204.67,20/7/2018,12:33:50,
270,-95.20,205.00,20/7/2018,12:33:50,
271,-101.40,204.67,20/7/2018,12:33:51,
272,-93.70,205.00,20/7/2018,12:33:51,
273,-94.50,205.67,20/7/2018,12:33:52,
274,-95.00,205.00,20/7/2018,12:33:52,
275,-93.80,205.67,20/7/2018,12:33:53,
276,-93.40,206.00,20/7/2018,12:33:53,
277,-96.20,206.67,20/7/2018,12:33:54,
278,-95.20,206.00,20/7/2018,12:33:54,
279,-95.60,207.00,20/7/2018,12:33:55,
280,-93.10,207.00,20/7/2018,12:33:55,
281,-93.10,207.00,20/7/2018,12:33:56,
282,-93.80,207.00,20/7/2018,12:33:56,
283,-96.60,207.00,20/7/2018,12:33:57,
284,-98.60,207.00,20/7/2018,12:33:57,
285,-97.00,207.00,20/7/2018,12:33:58,
286,-93.60,207.00,20/7/2018,12:33:58,
287,-96.90,207.00,20/7/2018,12:33:59,
288,-96.00,206.00,20/7/2018,12:33:59,
289,-94.50,206.00,20/7/2018,12:34:0,
290,-101.60,206.00,20/7/2018,12:34:0,
291,-94.20,205.00,20/7/2018,12:34:1,
292,-96.10,206.00,20/7/2018,12:34:1,
293,-92.80,205.00,20/7/2018,12:34:2,
294,-95.50,205.00,20/7/2018,12:34:2,
295,-95.70,204.00,20/7/2018,12:34:3,
296,-95.10,204.00,20/7/2018,12:34:3,
297,-93.40,204.00,20/7/2018,12:34:4,
298,-95.80,203.00,20/7/2018,12:34:4,
299,-95.80,204.00,20/7/2018,12:34:5,
300,-100.80,203.00,20/7/2018,12:34:5,
301,-95.90,203.00,20/7/2018,12:34:6,
302,-98.40,203.00,20/7/2018,12:34:6,
303,-93.40,203.00,20/7/2018,12:34:7,
304,-99.90,203.00,20/7/2018,12:34:7,
305,-96.10,203.00,20/7/2018,12:34:8,
306,-92.40,203.00,20/7/2018,12:34:8,
307,-92.70,203.00,20/7/2018,12:34:9,
308,-93.50,203.00,20/7/2018,12:34:9,
309,-100.70,203.67,20/7/2018,12:34:10,
310,-96.10,203.33,20/7/2018,12:34:10,
311,-94.30,204.00,20/7/2018,12:34:11,
312,-95.30,204.67,20/7/2018,12:34:11,
313,-94.60,204.67,20/7/2018,12:34:12,
314,-93.20,205.00,20/7/2018,12:34:12,
315,-96.20,205.67,20/7/2018,12:34:13,
316,-93.10,206.33,20/7/2018,12:34:13,
317,-94.80,206.00,20/7/2018,12:34:14,
318,-93.90,207.00,20/7/2018,12:34:14,
319,-95.60,207.00,20/7/2018,12:34:15,
320,-93.50,207.00,20/7/2018,12:34:15,
321,-94.10,207.00,20/7/2018,12:34:16,
322,-95.30,207.00,20/7/2018,12:34:16,
323,-95.00,206.00,20/7/2018,12:34:17,
324,-92.90,206.00,20/7/2018,12:34:17,
325,-93.80,205.00,20/7/2018,12:34:18,
326,-95.80,204.00,20/7/2018,12:34:18,
327,-93.20,204.00,20/7/2018,12:34:19,
328,-92.90,204.00,20/7/2018,12:34:19,
329,-97.80,203.00,20/7/2018,12:34:20,
330,-101.30,203.00,20/7/2018,12:34:20,
331,-94.10,203.00,20/7/2018,12:34:21,
332,-92.70,203.00,20/7/2018,12:34:21,
333,-92.50,203.00,20/7/2018,12:34:22,
334,-97.40,203.33,20/7/2018,12:34:22,
335,-96.00,203.00,20/7/2018,12:34:23,
336,-92.50,204.00,20/7/2018,12:34:23,
337,-97.30,204.67,20/7/2018,12:34:24,
338,-95.10,204.67,20/7/2018,12:34:24,
339,-92.60,205.00,20/7/2018,12:34:25,
340,-100.60,206.00,20/7/2018,12:34:25,
341,-95.30,206.33,20/7/2018,12:34:26,
342,-95.40,206.00,20/7/2018,12:34:26,
343,-95.40,207.00,20/7/2018,12:34:27,
344,-95.00,207.00,20/7/2018,12:34:27,
345,-97.40,207.00,20/7/2018,12:34:28,
346,-97.00,207.00,20/7/2018,12:34:28,
347,-92.70,207.00,20/7/2018,12:34:29,
348,-95.50,207.00,20/7/2018,12:34:29,
349,-95.10,207.00,20/7/2018,12:34:30,
350,-95.10,206.00,20/7/2018,12:34:30,
351,-92.50,206.00,20/7/2018,12:34:31,
352,-92.90,205.00,20/7/2018,12:34:31,
353,-94.90,205.00,20/7/2018,12:34:32,
354,-95.00,205.00,20/7/2018,12:34:32,
355,-100.30,204.00,20/7/2018,12:34:33,
356,-92.50,204.00,20/7/2018,12:34:33,
357,-92.50,204.00,20/7/2018,12:34:34,
358,-93.20,203.00,20/7/2018,12:34:34,
359,-94.80,203.00,20/7/2018,12:34:35,
360,-96.80,203.00,20/7/2018,12:34:35,
361,-92.40,203.00,20/7/2018,12:34:36,
362,-93.20,203.00,20/7/2018,12:34:36,
363,-94.60,203.00,20/7/2018,12:34:37,
364,-91.80,203.00,20/7/2018,12:34:37,
365,-92.80,203.00,20/7/2018,12:34:38,
366,-94.30,203.00,20/7/2018,12:34:38,
367,-92.80,203.00,20/7/2018,12:34:39,
368,-96.40,203.00,20/7/2018,12:34:39,
369,-94.40,204.00,20/7/2018,12:34:40,
370,-95.70,204.00,20/7/2018,12:34:40,
371,-92.50,204.67,20/7/2018,12:34:41,
372,-91.10,205.00,20/7/2018,12:34:41,
373,-94.90,206.00,20/7/2018,12:34:42,
374,-94.60,206.00,20/7/2018,12:34:42,
375,-92.70,206.67,20/7/2018,12:34:43,
376,-92.30,207.00,20/7/2018,12:34:43,
377,-98.00,207.00,20/7/2018,12:34:44,
378,-92.80,207.00,20/7/2018,12:34:44,
379,-94.60,207.00,20/7/2018,12:34:45,
380,-92.20,207.00,20/7/2018,12:34:45,
381,-93.90,207.00,20/7/2018,12:34:46,
382,-92.80,206.00,20/7/2018,12:34:46,
383,-92.70,206.00,20/7/2018,12:34:47,
384,-99.50,205.00,20/7/2018,12:34:47,
385,-91.70,205.00,20/7/2018,12:34:48,
386,-100.60,204.00,20/7/2018,12:34:48,
387,-100.30,204.00,20/7/2018,12:34:49,
388,-95.20,204.00,20/7/2018,12:34:49,
389,-94.30,203.00,20/7/2018,12:34:50,
390,-94.70,203.00,20/7/2018,12:34:50,
391,-92.60,203.00,20/7/2018,12:34:51,
392,-94.70,203.00,20/7/2018,12:34:51,
393,-95.00,203.00,20/7/2018,12:34:52,
394,-91.80,203.00,20/7/2018,12:34:52,
395,-92.00,203.00,20/7/2018,12:34:53,
396,-96.40,203.00,20/7/2018,12:34:53,
397,-98.20,203.00,20/7/2018,12:34:54,
398,-90.60,203.67,20/7/2018,12:34:54,
399,-95.90,203.33,20/7/2018,12:34:55,
400,-91.50,204.00,20/7/2018,12:34:55,
401,-94.50,204.67,20/7/2018,12:34:56,
402,-94.40,204.00,20/7/2018,12:34:56,
403,-96.40,205.00,20/7/2018,12:34:57,
404,-91.90,205.33,20/7/2018,12:34:57,
405,-95.10,206.00,20/7/2018,12:34:58,
406,-93.50,205.67,20/7/2018,12:34:58,
407,-90.70,206.00,20/7/2018,12:34:59,
408,-93.00,206.67,20/7/2018,12:34:59,
409,-92.20,206.67,20/7/2018,12:35:0,
410,-91.40,207.00,20/7/2018,12:35:0,
411,-102.00,207.00,20/7/2018,12:35:1,
412,-92.80,207.00,20/7/2018,12:35:1,
413,-91.80,207.00,20/7/2018,12:35:2,
414,-94.40,207.00,20/7/2018,12:35:2,
415,-94.20,207.00,20/7/2018,12:35:3,
416,-93.00,206.67,20/7/2018,12:35:3,
417,-91.50,207.00,20/7/2018,12:35:4,
418,-92.50,206.00,20/7/2018,12:35:4,
419,-91.50,206.00,20/7/2018,12:35:5,
420,-92.70,206.00,20/7/2018,12:35:5,
421,-92.10,205.00,20/7/2018,12:35:6,
422,-96.70,205.00,20/7/2018,12:35:6,
423,-91.30,204.00,20/7/2018,12:35:7,
424,-93.30,204.00,20/7/2018,12:35:7,
425,-99.60,204.00,20/7/2018,12:35:8,
426,-95.30,203.00,20/7/2018,12:35:8,
427,-95.20,203.00,20/7/2018,12:35:9,
428,-94.20,203.00,20/7/2018,12:35:9,
429,-91.50,202.67,20/7/2018,12:35:10,
430,-92.20,202.67,20/7/2018,12:35:10,
431,-94.10,203.00,20/7/2018,12:35:11,
432,-91.80,203.00,20/7/2018,12:35:11,
433,-93.70,203.00,20/7/2018,12:35:12,
434,-91.20,203.00,20/7/2018,12:35:12,
435,-92.50,203.00,20/7/2018,12:35:13,
436,-96.90,203.00,20/7/2018,12:35:13,
437,-91.80,203.67,20/7/2018,12:35:14,
438,-91.80,203.33,20/7/2018,12:35:14,
439,-91.00,204.00,20/7/2018,12:35:15,
440,-91.90,204.67,20/7/2018,12:35:15,
441,-91.60,204.00,20/7/2018,12:35:16,
442,-93.30,205.00,20/7/2018,12:35:16,
443,-93.30,205.33,20/7/2018,12:35:17,
444,-85.70,205.67,20/7/2018,12:35:17,
445,-91.70,205.33,20/7/2018,12:35:18,
446,-91.30,206.00,20/7/2018,12:35:18,
447,-94.10,206.67,20/7/2018,12:35:19,
448,-93.50,207.00,20/7/2018,12:35:19,
449,-90.80,207.00,20/7/2018,12:35:20,
450,-97.90,207.00,20/7/2018,12:35:20,
451,-92.90,207.00,20/7/2018,12:35:21,
452,-96.30,207.00,20/7/2018,12:35:21,
453,-91.10,207.00,20/7/2018,12:35:22,
454,-93.90,207.00,20/7/2018,12:35:22,
455,-91.00,207.00,20/7/2018,12:35:23,
456,-91.50,207.00,20/7/2018,12:35:23,
457,-92.00,206.00,20/7/2018,12:35:24,
458,-94.00,206.00,20/7/2018,12:35:24,
459,-92.80,206.00,20/7/2018,12:35:25,
460,-93.10,205.00,20/7/2018,12:35:25,
461,-98.70,205.00,20/7/2018,12:35:26,
462,-96.60,204.00,20/7/2018,12:35:26,
463,-93.70,204.00,20/7/2018,12:35:27,
464,-96.60,204.00,20/7/2018,12:35:27,
465,-93.60,204.00,20/7/2018,12:35:28,
466,-94.20,204.00,20/7/2018,12:35:28,
467,-94.00,204.00,20/7/2018,12:35:29,
468,-90.30,203.00,20/7/2018,12:35:29,
469,-90.60,203.00,20/7/2018,12:35:30,
470,-98.40,203.00,20/7/2018,12:35:30,
471,-93.50,203.00,20/7/2018,12:35:31,
472,-91.10,203.00,20/7/2018,12:35:31,
473,-96.00,203.00,20/7/2018,12:35:32,
474,-91.20,203.00,20/7/2018,12:35:32,
475,-93.80,203.00,20/7/2018,12:35:33,
476,-91.20,203.00,20/7/2018,12:35:33,
477,-94.00,203.00,20/7/2018,12:35:34,
478,-90.40,203.00,20/7/2018,12:35:34,
479,-93.50,203.00,20/7/2018,12:35:35,
480,-90.90,203.67,20/7/2018,12:35:35,
481,-91.20,203.00,20/7/2018,12:35:36,
482,-92.80,203.67,20/7/2018,12:35:36,
483,-94.10,204.33,20/7/2018,12:35:37,
484,-89.70,204.00,20/7/2018,12:35:37,
485,-89.60,205.00,20/7/2018,12:35:38,
486,-92.70,205.33,20/7/2018,12:35:38,
487,-92.50,206.00,20/7/2018,12:35:39,
488,-89.90,206.00,20/7/2018,12:35:39,
489,-90.70,206.33,20/7/2018,12:35:40,
490,-95.20,207.00,20/7/2018,12:35:40,
491,-93.40,207.00,20/7/2018,12:35:41,
492,-96.30,207.00,20/7/2018,12:35:41,
493,-91.00,207.00,20/7/2018,12:35:42,
494,-93.60,207.00,20/7/2018,12:35:42,
495,-94.30,207.00,20/7/2018,12:35:43,
